iter	RMSE
0	522.5542066
1	500.5999764
2	478.608694
3	460.280158
4	445.1782566
5	431.9291016
6	419.9518375
7	410.2806791
8	400.9780648
9	392.0907067
10	385.408403
11	378.796204
12	373.8524521
13	369.6712825
14	365.113857
15	361.0856215
16	357.8272765
17	352.1876078
18	349.1173633
19	343.4926013
20	341.5068888
21	339.1452929
22	336.3716897
23	334.3324295
24	330.0809255
25	326.006711
26	324.699874
27	322.6921205
28	321.3002788
29	318.7055117
30	317.6153093
31	313.9931913
32	312.4148537
33	311.5673502
34	307.8678535
35	306.1030406
36	305.3932097
37	301.9956057
38	301.5078257
39	301.0602818
40	299.9421205
41	298.7213221
42	297.7740253
43	297.0935874
44	296.1854439
45	295.7571316
46	294.2602688
47	292.2247894
48	289.7754285
49	288.6066371
50	288.1589916
51	287.6646079
52	286.6463577
53	286.0536049
54	285.7590067
55	284.0552956
56	283.3394262
57	282.46971
58	281.2670956
59	280.1866868
60	278.9032862
61	278.6071547
62	278.2908547
63	277.8458331
64	277.6121986
65	276.6979777
66	275.4868661
67	275.186529
68	274.1120684
69	273.0631123
70	272.5596241
71	271.1672165
72	269.8200052
73	269.2957559
74	269.0044116
75	268.7387012
76	268.5189577
77	266.3713741
78	265.7025105
79	265.375644
80	265.1623297
81	263.7408489
82	262.7638177
83	261.7080918
84	260.8482129
85	260.7886757
86	260.1544945
87	260.1164968
88	260.0026533
89	258.9384204
90	258.016376
91	256.2447703
92	255.5643672
93	254.9985207
94	254.9653942
95	254.3655193
96	253.8851963
97	253.6108629
98	253.4768193
99	253.1918464
100	252.8392203
101	252.6551188
102	252.3688347
103	252.2661093
104	251.9375275
105	251.8955211
106	250.9656776
107	247.9090243
108	246.3292493
109	244.712413
110	244.3697629
111	243.3875135
112	241.8763003
113	240.7425871
114	239.8113064
115	238.8080809
116	238.6043089
117	238.5128759
118	238.4260671
119	237.7741921
120	237.6917518
121	235.741995
122	235.4893303
123	234.4010555
124	233.150335
125	232.230405
126	230.8730919
127	230.00682
128	229.9305141
129	228.8664682
130	228.7947965
131	227.7725352
132	227.4414827
133	226.2711371
134	225.2211156
135	225.0496075
136	224.3855924
137	223.0997486
138	223.031818
139	222.4117407
140	222.343768
141	221.6196197
142	220.9083102
143	220.0558461
144	219.3735192
145	218.1654101
146	217.9030462
147	217.3474442
148	216.9533543
149	216.2187017
150	215.9296802
151	215.57664
152	215.4316676
153	215.3186207
154	215.0415563
155	214.4294271
156	213.8474219
157	213.159012
158	213.0557018
159	213.0042459
160	212.0659988
161	210.2281318
162	209.5777597
163	209.3595017
164	208.5130527
